Geneid	Chr	Start	End	Strand	Length	Bas.1	Bas.2	Bas.3	Ferro.3	Gad.1	Gad.2	Gad.3	LaCl.1	LaCl.2	LaCl.3	LaOx.1	LaOx.2	LaOx.3	LaP.1	LaP.2	LaP.3	Lop.1	Lop.2	Lop.3	MinLaCl.1	MinLaCl.2	MinLaCl.3	Mon.1	Mon.2	Mon.3	Xen.1	Xen.2	Xen.3
RHAL1_00074	RHAL1_chromosome	71228	71980	-	753	545	173	203	821	348	372	547	429	293	265	502	425	360	755	245	943	613	480	473	224	339	359	546	556	388	257	356	420
RHAL1_00075	RHAL1_chromosome	72123	72383	-	261	451	205	344	915	205	286	407	429	344	300	451	454	338	784	211	849	475	459	393	245	307	358	368	678	472	505	822	1159
RHAL1_00076	RHAL1_chromosome	72999	74234	+	1236	16441	12196	15283	27586	14043	13300	21175	15823	16079	13491	17401	14567	11481	18880	7675	20987	16640	15028	13611	8189	12606	11444	11332	12811	12588	9063	16634	24866
RHAL1_00077	RHAL1_chromosome	74368	74673	+	306	3241	2575	4177	3324	2528	2552	3663	2408	2268	2387	3856	3070	2118	2295	918	3068	4021	3148	2917	1580	2124	2603	1630	1620	1470	1352	1867	2914
RHAL1_00078	RHAL1_chromosome	74715	76358	+	1644	15255	11880	17953	19718	10809	10853	15765	11273	12460	9756	13268	11428	10180	13453	5350	13947	13734	12195	10885	6767	9615	11551	8192	8344	8444	6041	11248	16195
RHAL1_00079	RHAL1_chromosome	76421	77350	+	930	1618	736	1018	4722	2423	2289	3793	1858	3788	3553	3634	2344	2618	1662	761	2199	5224	4205	3508	3386	4701	4411	1547	1144	1029	382	553	765
RHAL1_00080	RHAL1_chromosome	77366	79708	-	2343	35304	22476	29795	93447	59066	53058	85959	46493	94607	81174	109313	80233	57620	27401	13454	23390	165906	152201	137269	83682	132642	127956	30158	22771	16847	2091	3394	4080
RHAL1_00081	RHAL1_chromosome	79852	80775	+	924	1056	384	568	1000	629	615	832	869	920	900	1240	992	964	1403	529	1995	1403	1081	1189	649	947	842	863	1031	774	916	1116	1574
RHAL1_00082	RHAL1_chromosome	80785	82368	-	1584	3009	2016	2796	6957	1753	1691	2522	2055	1629	1328	2252	1882	1629	2157	855	2709	2584	2707	2490	917	1237	1403	1376	1307	1130	1664	2393	2796
RHAL1_00083	RHAL1_chromosome	82409	83227	-	819	3351	2422	3149	6112	2415	2210	3776	3021	2204	2154	2966	2390	1838	2221	825	2939	4029	3696	3513	1203	2024	1740	1490	1476	1212	1162	1356	1897
RHAL1_00084	RHAL1_chromosome	83227	83805	-	579	23960	21280	23663	23590	14393	11699	15985	29372	34268	29462	33125	26417	22990	19883	7395	27395	28076	27080	30583	13195	20951	18105	13142	14038	15270	13321	19112	27230
RHAL1_00085	RHAL1_chromosome	84018	84215	-	198	6708	3996	4696	8320	3462	3183	4697	10026	11787	10198	7845	6468	7236	5867	2119	7878	6689	6193	5994	3900	5078	5099	3637	3355	3968	2556	3687	4772
RHAL1_00086	RHAL1_chromosome	84398	84826	-	429	2843	1415	1927	2522	1729	1579	2622	2801	2844	2421	2985	2505	2619	5295	2104	7142	2853	2896	2581	1811	2371	2363	3507	3594	4060	2760	3164	4852
RHAL1_00087	RHAL1_chromosome	84856	85494	+	639	3600	2485	3139	2222	2715	2505	3824	3836	3820	2984	4259	3546	2632	3931	1607	4841	3785	3201	2985	2554	3260	3049	2883	3033	2575	1568	2134	3098
RHAL1_00088	RHAL1_chromosome	85517	86080	-	564	136146	162193	223542	133895	136827	112048	177613	232119	296144	239301	276570	242943	136994	74864	31543	95479	175999	149699	109661	125015	154945	153944	53697	44338	48665	46137	88255	127895
RHAL1_00089	RHAL1_chromosome	86226	86813	-	588	2031	826	1858	1689	1544	1715	2383	1968	2371	2139	2758	2386	2344	6196	2144	7738	2229	1934	1633	2016	2467	2122	4255	5235	3725	1781	2410	3187
RHAL1_00090	RHAL1_chromosome	86818	87018	-	201	908	441	811	940	562	496	706	1303	1394	1157	1314	1026	844	1616	523	1640	1021	991	927	684	965	961	789	1177	978	982	1401	2071
RHAL1_00091	RHAL1_chromosome	87106	89820	-	2715	7230	2430	5089	10072	7476	7714	11368	11579	16862	14260	17228	12920	16248	25801	9900	31883	7193	7052	6662	10097	13468	9741	20449	19689	16661	7821	11650	17577
RHAL1_00092	RHAL1_chromosome	90082	90939	+	858	1376	972	1310	1071	809	847	1109	1481	1495	1193	1630	1639	1001	1562	570	2294	2046	1805	1800	866	1622	1464	1136	1240	1248	1130	1372	1990
RHAL1_00093	RHAL1_chromosome	90971	91303	+	333	1151	562	829	740	561	565	915	678	680	507	862	669	671	1959	739	1980	720	763	769	494	570	588	1087	1415	1222	900	1303	1896
RHAL1_00094	RHAL1_chromosome	91331	91702	-	372	466	205	292	260	256	185	275	415	399	398	597	344	454	716	352	876	520	524	501	235	333	322	518	446	392	353	386	472
RHAL1_00095	RHAL1_chromosome	91833	92852	+	1020	1266	662	625	691	809	755	1259	1382	1407	1132	1657	1272	1313	1978	830	2472	1452	1270	1300	702	1023	1135	1442	1279	1108	704	940	1313
RHAL1_00096	RHAL1_chromosome	92871	93599	-	729	1972	1045	1561	1442	1361	1245	1922	3254	3626	2821	3445	2697	2180	2622	1062	3025	2731	2603	2557	1410	2090	2451	1560	1604	1380	1180	1731	2391
RHAL1_00097	RHAL1_chromosome	93690	95093	+	1404	2107	721	1107	911	1180	972	1640	1860	1753	1773	2092	1745	1613	3584	1401	4774	2092	1797	1754	1031	1587	1443	2623	2872	2357	1298	1635	2601
RHAL1_00098	RHAL1_chromosome	95117	95881	+	765	1391	432	590	1403	901	872	1334	1279	1216	965	1744	1353	1248	2852	1030	3338	1024	915	1053	942	1158	949	2271	2075	1578	729	785	1271
RHAL1_00099	RHAL1_chromosome	95918	96250	-	333	1157	506	1042	2893	885	866	1266	1700	1983	1711	2659	1911	1917	6135	2144	6425	1495	1131	1364	1375	1796	1599	4397	4489	3185	623	867	1061
RHAL1_00100	RHAL1_chromosome	96345	97553	-	1209	494	291	429	1974	716	797	1377	742	721	558	749	640	454	538	221	797	825	726	715	346	542	513	372	447	306	283	357	609
RHAL1_00101	RHAL1_chromosome	97839	98858	+	1020	6686	4995	6085	3075	4847	4198	5995	14008	13410	11223	14214	11259	7018	9774	4097	11994	21920	16592	15099	8894	14761	13059	9046	8701	6480	1757	2861	4311
RHAL1_00102	RHAL1_chromosome	98827	99024	+	198	339	363	376	369	216	275	386	971	1069	979	1330	868	982	826	352	1170	1522	1056	1016	535	844	867	665	692	517	194	293	366
RHAL1_00103	RHAL1_chromosome	99098	99883	+	786	1832	1660	1929	1363	1145	1104	1728	3568	3532	3296	4346	3260	2858	3578	1475	4154	5668	4279	3867	2658	3787	3691	3191	2734	2384	867	1158	1453
RHAL1_00104	RHAL1_chromosome	99983	101854	+	1872	4666	3760	5420	7534	4396	4298	6505	7506	9283	7685	8827	7315	5979	6914	2826	8550	9548	7912	6861	5577	7930	7424	5292	5035	4470	2541	3552	4301
RHAL1_00105	RHAL1_chromosome	101945	103081	+	1137	12144	11807	14041	12668	9248	8171	12732	26873	23202	19256	25885	21739	13653	7456	3174	9432	24791	19719	19352	9494	12108	15698	5759	4066	4557	4068	5755	8340
RHAL1_00106	RHAL1_chromosome	103106	103936	-	831	1729	1489	1806	1858	1348	1241	1944	3230	2267	1935	2888	2492	1477	1624	566	2096	3478	2895	2558	1255	1650	2109	1041	1035	925	803	1388	1688
RHAL1_00107	RHAL1_chromosome	104160	106346	+	2187	8758	4636	7242	10495	7801	7095	10909	9990	11615	8984	10262	8203	8901	13535	5073	16858	10507	9424	9823	7067	10571	8812	9083	8343	8546	5936	8801	12848
RHAL1_00108	RHAL1_chromosome	106419	106931	+	513	4283	1400	2150	2333	2877	3044	4571	3772	3687	3411	3747	3054	4030	6245	2692	7403	4163	3822	3338	1806	2757	2866	3299	3513	3385	1794	2595	3924
RHAL1_00109	RHAL1_chromosome	107106	107576	+	471	18070	5295	8685	8671	6406	6361	10168	6779	7096	6121	8776	7328	6557	17927	6346	18987	7065	6677	6401	4008	5280	6127	10557	12878	11970	9683	17042	27988
RHAL1_00110	RHAL1_chromosome	107647	108567	+	921	29294	22489	28186	30666	30505	21741	35866	60533	91472	74364	62072	48135	42131	30673	12875	38298	60574	52838	41751	43002	61096	41580	25598	22106	22123	7377	12739	14367
RHAL1_00111	RHAL1_chromosome	108572	108802	-	231	53084	53415	56074	28951	59868	38800	62448	71885	107465	162384	132947	91755	94318	47551	19461	79959	120275	120113	108951	56099	88664	65852	31364	24582	24135	12443	16136	18048
RHAL1_00112	RHAL1_chromosome	108934	110016	+	1083	4522	3874	5583	2465	2201	1991	2911	6488	7143	5966	6895	5829	3990	3967	1471	5636	9108	8778	7618	3929	5986	6050	2867	2825	2731	2410	2772	3975
RHAL1_00113	RHAL1_chromosome	110093	110662	+	570	9482	4625	9212	6099	6483	6627	9377	12850	13512	11981	15596	12471	9225	20730	7115	25930	10931	9411	8582	10295	13305	11702	15776	17170	13518	4251	7704	9726
RHAL1_00114	RHAL1_chromosome	110923	112878	+	1956	10911	5753	8856	7673	5979	6184	8670	10220	10029	8079	12011	9898	7724	15274	5620	18504	9980	9027	8787	6488	8472	9026	11364	12024	11227	8535	13829	21328
RHAL1_00115	RHAL1_chromosome	113118	113663	+	546	31157	2856	3848	72102	14779	9371	18901	11893	12270	13241	8864	7920	31276	39338	13563	47043	5073	7223	10060	1746	3909	3966	10000	12121	11582	8636	11945	16958
RHAL1_00116	RHAL1_chromosome	113759	114685	+	927	2398	1017	1388	1111	1128	1175	1741	1457	1298	1005	1464	1318	1359	2969	1143	3679	1834	1613	1541	839	1306	1252	2086	1973	1972	2748	4262	6578
RHAL1_00117	RHAL1_chromosome	114731	115270	-	540	1421	500	632	1008	723	856	1067	1180	1047	775	1299	1194	1391	3029	1019	2928	944	862	898	710	838	964	1922	2186	1874	1194	1767	2799
RHAL1_00118	RHAL1_chromosome	115267	116145	-	879	1626	491	862	550	818	694	1237	1350	1135	1026	1538	1241	1183	2506	1068	3098	1850	1364	1416	797	1111	1140	1741	1779	1515	826	1161	1622
RHAL1_00119	RHAL1_chromosome	116309	117028	-	720	310	85	166	116	172	151	254	361	323	245	315	262	239	506	203	525	395	291	281	229	339	354	400	348	353	147	297	394
RHAL1_00120	RHAL1_chromosome	117284	119506	+	2223	1919	1006	1427	1074	1602	1552	1946	2150	2226	1974	2686	1811	1811	2753	1208	3871	3516	2730	2616	1517	2127	2091	1880	1878	1604	1829	2346	3298
RHAL1_00121	RHAL1_chromosome	119614	120105	+	492	4623	1635	2188	1520	1702	2074	2936	1649	1388	1312	1833	1442	1578	5427	1926	5653	1797	1771	1766	1077	1516	1573	2936	4004	4302	3753	7118	10626
RHAL1_00122	RHAL1_chromosome	120228	120347	+	120	330	102	171	273	133	145	197	151	137	169	205	172	180	285	116	418	217	219	178	134	174	152	199	241	214	208	234	343
RHAL1_00123	RHAL1_chromosome	120349	121062	-	714	1219	384	509	1732	669	562	947	640	734	594	639	428	652	727	301	1135	627	493	449	412	514	466	473	436	436	478	635	972
RHAL1_00124	RHAL1_chromosome	121075	121662	-	588	557	213	238	786	368	329	567	326	344	296	350	367	385	519	217	670	418	305	265	226	315	318	410	400	369	289	265	534
RHAL1_00125	RHAL1_chromosome	121750	123387	-	1638	2862	1590	2244	8755	3400	3907	6046	3055	2872	2374	3974	3273	2220	4125	1753	4426	4617	3488	2790	2788	3525	3513	3514	3477	3060	1929	3034	4526
RHAL1_00126	RHAL1_chromosome	123473	123748	-	276	413	159	318	1273	318	259	321	346	362	204	434	389	314	292	120	305	339	294	283	205	267	279	214	201	247	246	484	697
RHAL1_00127	RHAL1_chromosome	123793	124443	-	651	141	38	84	114	152	97	189	84	80	63	131	64	153	79	53	125	133	138	158	55	61	97	68	66	51	78	66	151
