locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_00014,495,msrB_1,1.8.4.12,Peptide methionine sulfoxide reductase MsrB,K07305,peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12],K07305 peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12] 
RHAL1_00015,561, , ,DNA mismatch repair protein MutS,,,no KO assigned 
RHAL1_00016,1014, , ,MltA domain protein,K08304,membrane-bound lytic murein transglycosylase A [EC:4.2.2.-],K08304 membrane-bound lytic murein transglycosylase A [EC:4.2.2.-] 
RHAL1_00017,723, , ,hypothetical protein,,,no KO assigned 
RHAL1_00018,468, , ,hypothetical protein,K07113,UPF0716 protein FxsA,K07113 UPF0716 protein FxsA 
RHAL1_00019,606,recR, ,gap repair protein,K06187,recombination protein RecR,K06187 recombination protein RecR 
RHAL1_00020,324, , ,hypothetical protein,K09747,uncharacterized protein,K09747 nucleoid-associated protein EbfC 
RHAL1_00021,792, , ,Membrane protein,K06872,uncharacterized protein,K06872 uncharacterized protein 
RHAL1_00022,699, , ,LemA family protein,K03744,LemA protein,K03744 LemA protein 
RHAL1_00023,1863,dnaX,2.7.7.7,DNA polymerase III subunit gamma/tau,K02343,DNA polymerase III subunit gamma/tau [EC:2.7.7.7],K02343 DNA polymerase III subunit gamma/tau [EC:2.7.7.7] 
RHAL1_00024,3297, , ,putative autotransporter,,,no KO assigned 
RHAL1_00025,975,cysK,2.5.1.47,"cysteine synthase A, O-acetylserine sulfhydrolase A subunit",K01738,cysteine synthase [EC:2.5.1.47],K01738 cysteine synthase [EC:2.5.1.47] 
RHAL1_00026,129, , ,hypothetical protein,,,no KO assigned 
RHAL1_00027,1035, , ,Adenosine kinase,K00856,adenosine kinase [EC:2.7.1.20],no KO assigned 
RHAL1_00028,1644, , ,hypothetical protein,,,no KO assigned 
RHAL1_00029,1293, , ,Major facilitator superfamily MFS_1,,,no KO assigned 
RHAL1_00030,426, , ,hypothetical protein,,,no KO assigned 
RHAL1_00031,924, ,1.1.1.169,2-dehydropantoate 2-reductase,K00077,2-dehydropantoate 2-reductase [EC:1.1.1.169],K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] 
RHAL1_00032,630, , ,Glutathione S-transferase,K00799,glutathione S-transferase [EC:2.5.1.18],K00799 glutathione S-transferase [EC:2.5.1.18] 
RHAL1_00033,1500, , ,FAD-dependent oxidoreductase,K01854,UDP-galactopyranose mutase [EC:5.4.99.9],no KO assigned 
RHAL1_00034,2271, , ,membrane protein of unknown function,,,no KO assigned 
RHAL1_00035,1461, , ,Signal transduction histidine kinase,,,no KO assigned 
RHAL1_00036,135, , ,protein of unknown function,,,no KO assigned 
RHAL1_00037,357, , ,protein of unknown function,,,no KO assigned 
RHAL1_00038,1263, , ,protein of unknown function,,,no KO assigned 
RHAL1_00039,1119, , ,transposase,K07481,"transposase, IS5 family",no KO assigned 
RHAL1_00040,1467, , ,protein of unknown function,,,no KO assigned 
RHAL1_00041,894, , ,protein of unknown function,,,no KO assigned 
RHAL1_00042,339, ,3.1.1.29,Peptidyl-tRNA hydrolase ArfB (fragment),K15034,ribosome-associated protein,K15034 ribosome-associated protein 
RHAL1_00043,258, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00044,414, , ,hypothetical protein,,,no KO assigned 
RHAL1_00045,1125,proB,2.7.2.11,Glutamate 5-kinase,K00931,glutamate 5-kinase [EC:2.7.2.11],K00931 glutamate 5-kinase [EC:2.7.2.11] 
RHAL1_00046,492,yciF, ,Protein YciF,,,no KO assigned 
RHAL1_00047,546,mog,2.7.7.75,Molybdopterin adenylyltransferase,K03831,molybdopterin adenylyltransferase [EC:2.7.7.75],K03831 molybdopterin adenylyltransferase [EC:2.7.7.75] 
RHAL1_00048,609, , ,hypothetical protein,,,no KO assigned 
RHAL1_00049,1059, , ,hypothetical protein,,,no KO assigned 
RHAL1_00050,297,rpmB, ,50S ribosomal protein L28,K02902,large subunit ribosomal protein L28,K02902 large subunit ribosomal protein L28 
RHAL1_00051,432, , ,Head assembly protein,,,no KO assigned 
RHAL1_00052,726, , ,protein of unknown function,K01358,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",no KO assigned 
RHAL1_00053,927,truB,5.4.99.25,tRNA pseudouridine synthase B,K03177,tRNA pseudouridine55 synthase [EC:5.4.99.25],K03177 tRNA pseudouridine55 synthase [EC:5.4.99.25] 
RHAL1_00054,375,rbfA, ,Ribosome-binding factor A,K02834,ribosome-binding factor A,K02834 ribosome-binding factor A 
RHAL1_00055,2733,infB, ,translation initiation factor IF-2,K02519,translation initiation factor IF-2,K02519 translation initiation factor IF-2 
RHAL1_00056,696, , ,DNA-binding protein,K07742,uncharacterized protein,K07742 uncharacterized protein 
RHAL1_00057,1617,nusA, ,transcription termination/antitermination L factor,K02600,transcription termination/antitermination protein NusA,K02600 transcription termination/antitermination protein NusA 
RHAL1_00058,732,rimP, ,Ribosome maturation factor RimP,K09748,ribosome maturation factor RimP,K09748 ribosome maturation factor RimP 
RHAL1_00059,1296,murA,2.5.1.7,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,K00790,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],K00790 UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7] 
RHAL1_00060,951, , ,hypothetical protein,,,no KO assigned 
RHAL1_00061,717, , ,Class I SAM-dependent methyltransferase (fragment),,,no KO assigned 
RHAL1_00062,1089, , ,hypothetical protein,,,no KO assigned 
RHAL1_00063,462, , ,hypothetical protein,,,no KO assigned 
RHAL1_00064,381, , ,hypothetical protein,,,no KO assigned 
RHAL1_00065,912, , ,hypothetical protein,,,no KO assigned 
RHAL1_00066,726,cobI,2.1.1.130,Precorrin-2 C(20)-methyltransferase,K03394,precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],K03394 precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151] 
RHAL1_00067,633,cobH,5.4.99.61,Precorrin-8X methylmutase,K06042,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],K06042 precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60] 
RHAL1_00068,417, , ,hypothetical protein,,,no KO assigned 
RHAL1_00069,606,leuD,4.2.1.33,3-isopropylmalate dehydratase small subunit,K01704,3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4,K01704 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35] 
RHAL1_00070,552, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00071,243, , ,protein of unknown function,,,no KO assigned 
RHAL1_00072,975,cobD, ,Cobalamin biosynthesis protein CobD,K02227,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],K02227 adenosylcobinamide-phosphate synthase [EC:6.3.1.10] 
RHAL1_00073,1326,cobB_1,6.3.5.9,"Hydrogenobyrinate a,c-diamide synthase",K02224,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]","K02224 cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11] "
RHAL1_00074,753,cobM,2.1.1.133,Precorrin-4 C(11)-methyltransferase,K05936,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],K05936 precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271] 
RHAL1_00075,261, , ,protein of unknown function,,,no KO assigned 
RHAL1_00076,1236,icd,1.1.1.42,Isocitrate dehydrogenase [NADP],K00031,isocitrate dehydrogenase [EC:1.1.1.42],K00031 isocitrate dehydrogenase [EC:1.1.1.42] 
RHAL1_00077,306, , ,protein of unknown function,,,no KO assigned 
RHAL1_00078,1644,pgi,5.3.1.9,glucosephosphate isomerase,K01810,glucose-6-phosphate isomerase [EC:5.3.1.9],K01810 glucose-6-phosphate isomerase [EC:5.3.1.9] 
RHAL1_00079,930, , ,Membrane protein,,,no KO assigned 
RHAL1_00080,2343,ydeP_1, ,putative oxidoreductase; putative molybdoenzyme,,,no KO assigned 
RHAL1_00081,924, , ,"Transcriptional regulator, LysR family",,,no KO assigned 
RHAL1_00082,1584, , ,Extracellular solute-binding protein family 5,K02035|K15580,peptide/nickel transport system substrate-binding protein|oligopeptide transport system substrate-binding protein,K15580 oligopeptide transport system substrate-binding protein 
RHAL1_00083,819,ymdB,3.1.4.16,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",K09769,uncharacterized protein,"K09769 2',3'-cyclic-nucleotide 2'-phosphodiesterase [EC:3.1.4.16] "
RHAL1_00084,579, ,6.3.3.2,5-formyltetrahydrofolate cyclo-ligase,K01934,5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2],K01934 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] 
RHAL1_00085,198, , ,protein of unknown function,,,no KO assigned 
RHAL1_00086,429,ybgC,3.1.2.-,Acyl-CoA thioesterase YbgC,K07107,acyl-CoA thioester hydrolase [EC:3.1.2.-],K07107 acyl-CoA thioester hydrolase [EC:3.1.2.-] 
RHAL1_00087,639, ,2.7.1.12,Gluconokinase (modular protein),K00851,gluconokinase [EC:2.7.1.12],K00851 gluconokinase [EC:2.7.1.12] 
RHAL1_00088,564,dps,1.16.-.-,DNA protection during starvation protein,K04047,starvation-inducible DNA-binding protein,K04047 starvation-inducible DNA-binding protein 
RHAL1_00089,588, ,2.5.1.17,"Cob(I)yrinic acid a,c-diamide adenosyltransferase",K00798,cob(I)alamin adenosyltransferase [EC:2.5.1.17],K00798 cob(I)alamin adenosyltransferase [EC:2.5.1.17] 
RHAL1_00090,201, , ,hypothetical protein,,,no KO assigned 
RHAL1_00091,2715, , ,hypothetical protein,,,no KO assigned 
RHAL1_00092,858,ydbD,1.11.1.6,putative manganese catalase,K07217,Mn-containing catalase,K07217 Mn-containing catalase 
RHAL1_00093,333, , ,"DNA-binding transcriptional regulator, FrmR family",,,"K21600 CsoR family transcriptional regulator, copper-sensing transcriptional repressor "
RHAL1_00094,372, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00095,1020, , ,2'-deoxycytidine 5'-triphosphate deaminase,K01494,dCTP deaminase [EC:3.5.4.13],K01494 dCTP deaminase [EC:3.5.4.13] 
RHAL1_00096,729, , ,Hydrolase,K01061,carboxymethylenebutenolidase [EC:3.1.1.45],K01061 carboxymethylenebutenolidase [EC:3.1.1.45] 
RHAL1_00097,1404, , ,MATE family efflux transporter,,,no KO assigned 
RHAL1_00098,765, , ,hypothetical protein,,,no KO assigned 
RHAL1_00099,333, , ,hypothetical protein,,,no KO assigned 
RHAL1_00100,1209, , ,Oxalate/formate MFS antiporter,K08177,"MFS transporter, OFA family, oxalate/formate antiporter","K08177 MFS transporter, OFA family, oxalate/formate antiporter "
RHAL1_00101,1020,thiO, ,putative thiamine biosynthesis oxidoreductase ThiO,K03153,glycine oxidase [EC:1.4.3.19],K03153 glycine oxidase [EC:1.4.3.19] 
RHAL1_00102,198,thiS, ,Thiamine biosynthesis protein ThiS,K03154,sulfur carrier protein,K03154 sulfur carrier protein 
RHAL1_00103,786,thiG,2.8.1.10,Thiazole synthase,K03149,thiazole synthase [EC:2.8.1.10],K03149 thiazole synthase [EC:2.8.1.10] 
RHAL1_00104,1872, , ,hypothetical protein,,,no KO assigned 
RHAL1_00105,1137, , ,membrane protein of unknown function,K07058,membrane protein,K07058 membrane protein 
RHAL1_00106,831, , ,"Transcriptional regulator, IclR family",K13641,"IclR family transcriptional regulator, acetate operon repressor","K13641 IclR family transcriptional regulator, acetate operon repressor "
RHAL1_00107,2187,glcB,2.3.3.9,malate synthase G,K01638,malate synthase [EC:2.3.3.9],K01638 malate synthase [EC:2.3.3.9] 
RHAL1_00108,513, , ,protein of unknown function,,,no KO assigned 
RHAL1_00109,471, , ,hypothetical protein,K16260,mxaD protein,no KO assigned 
RHAL1_00110,921,oppB, ,oligopeptide transporter subunit ; membrane component of ABC superfamily protein,K02033,peptide/nickel transport system permease protein,K15581 oligopeptide transport system permease protein 
RHAL1_00111,231, , ,hypothetical protein,,,no KO assigned 
RHAL1_00112,1083, , ,Peptide ABC transporter permease,K02034,peptide/nickel transport system permease protein,K15582 oligopeptide transport system permease protein 
RHAL1_00113,570, , ,hypothetical protein,,,no KO assigned 
RHAL1_00114,1956,acs,6.2.1.1,acetyl-CoA synthetase,K01895,acetyl-CoA synthetase [EC:6.2.1.1],K01895 acetyl-CoA synthetase [EC:6.2.1.1] 
RHAL1_00115,546, , ,ErfK/YbiS/YcfS/YnhG family protein,,,no KO assigned 
RHAL1_00116,927, , ,hypothetical protein,,,no KO assigned 
RHAL1_00117,540,apt,2.4.2.7,Adenine phosphoribosyltransferase,K00759,adenine phosphoribosyltransferase [EC:2.4.2.7],K00759 adenine phosphoribosyltransferase [EC:2.4.2.7] 
RHAL1_00118,879,mtnP,2.4.2.28,S-methyl-5'-thioadenosine phosphorylase,K00772,5'-methylthioadenosine phosphorylase [EC:2.4.2.28],K00772 5'-methylthioadenosine phosphorylase [EC:2.4.2.28] 
RHAL1_00119,720, , ,hypothetical protein,,,no KO assigned 
RHAL1_00120,2223, , ,membrane protein of unknown function,,,no KO assigned 
RHAL1_00121,492,secB, ,Protein-export protein SecB,K03071,preprotein translocase subunit SecB,K03071 preprotein translocase subunit SecB 
RHAL1_00122,120, , ,protein of unknown function,,,no KO assigned 
RHAL1_00123,714,dnaQ,2.7.7.7,DNA polymerase III subunit epsilon,K02342,DNA polymerase III subunit epsilon [EC:2.7.7.7],K02342 DNA polymerase III subunit epsilon [EC:2.7.7.7] 
RHAL1_00124,588,coaE,2.7.1.24,Dephospho-CoA kinase,K00859,dephospho-CoA kinase [EC:2.7.1.24],K00859 dephospho-CoA kinase [EC:2.7.1.24] 
RHAL1_00125,1638,zwf_1,1.1.1.49,Glucose-6-phosphate 1-dehydrogenase,K00036,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] 
RHAL1_00126,276, , ,YiaAB two helix domain-containing protein,,,no KO assigned 
RHAL1_00127,651, , ,hypothetical protein,,,no KO assigned 
RHAL1_00128,1131, ,2.6.1.-,Aminotransferase,,,no KO assigned 
RHAL1_00129,2544, , ,putative ABC transport system permease protein,K02004,putative ABC transport system permease protein,K02004 putative ABC transport system permease protein 
RHAL1_00130,816, , ,hypothetical protein,,,no KO assigned 
RHAL1_00131,885,hpnC,4.2.3.156,Hydroxysqualene synthase,K21679,hydroxysqualene synthase [EC:4.2.3.156],K21679 hydroxysqualene synthase [EC:4.2.3.156] 
RHAL1_00132,846,hpnD,2.5.1.103,Presqualene diphosphate synthase,K21678,presqualene diphosphate synthase [EC:2.5.1.103],K21678 presqualene diphosphate synthase [EC:2.5.1.103] 
RHAL1_00133,927, ,1.17.8.1,Hydroxysqualene dehydroxylase,K21677,hydroxysqualene dehydroxylase [EC:1.17.8.1],K21677 hydroxysqualene dehydroxylase [EC:1.17.8.1] 
RHAL1_00134,363, ,1.17.8.1,Hydroxysqualene dehydroxylase (fragment),,,no KO assigned 
RHAL1_00135,2004,shc,4.2.1.129,Squalene--hopene cyclase,K06045,squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129],K06045 squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129] 
RHAL1_00136,663, , ,Phosphorylase,,,K01243 adenosylhomocysteine nucleosidase [EC:3.2.2.9] 
RHAL1_00137,1149, , ,Hopanoid biosynthesis associated radical SAM protein HpnH,,,no KO assigned 
RHAL1_00138,2679, , ,Hopanoid biosynthesis associated RND transporter like protein HpnN,K07003,uncharacterized protein,K07003 uncharacterized protein 
RHAL1_00139,1209,bchP,1.3.1.83,Geranylgeranyl diphosphate reductase,K10960,geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase,K10960 geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3
RHAL1_00140,939,bchG, ,Bacteriochlorophyll synthase 33 kDa chain,K04040,chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133],K04040 chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133] 
RHAL1_00141,3756,bchH,6.6.1.1,Magnesium-chelatase subunit H,K03403,magnesium chelatase subunit H [EC:6.6.1.1],K03403 magnesium chelatase subunit H [EC:6.6.1.1] 
RHAL1_00142,810, , ,protein of unknown function,,,no KO assigned 
RHAL1_00143,2037,kup_1, ,putative potassium transport system protein kup 1,K03549,KUP system potassium uptake protein,K03549 KUP system potassium uptake protein 
RHAL1_00144,1491,zraR, ,Transcriptional regulatory protein ZraR,,,no KO assigned 
RHAL1_00145,2022, , ,"Murein L,D-transpeptidase YcbB/YkuD",K21470,"L,D-transpeptidase YcbB","K21470 L,D-transpeptidase YcbB "
RHAL1_00146,699, , ,Phospholipase,K06999,phospholipase/carboxylesterase,K06999 phospholipase/carboxylesterase 
RHAL1_00147,729, , ,DNA-3-methyladenine glycosylase II,K01247,DNA-3-methyladenine glycosylase II [EC:3.2.2.21],K01247 DNA-3-methyladenine glycosylase II [EC:3.2.2.21] 
RHAL1_00148,900,gluQ,6.1.1.-,Glutamyl-Q tRNA(Asp) synthetase,K01894,glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-],K01894 glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-] 
RHAL1_00149,660, , ,hypothetical protein,,,no KO assigned 
RHAL1_00150,474, , ,protein of unknown function,,,no KO assigned 
RHAL1_00151,1443, , ,MFS transporter,,,no KO assigned 
RHAL1_00152,891, , ,Methyltransferase type 11,,,no KO assigned 
RHAL1_00153,2421, , ,TonB-dependent receptor,K02014,iron complex outermembrane recepter protein,K02014 iron complex outermembrane recepter protein 
RHAL1_00154,723, , ,Amidophosphoribosyltransferase,K02242,competence protein ComFC,no KO assigned 
RHAL1_00155,273,grx, ,Glutaredoxin,K03676,glutaredoxin 3,K03676 glutaredoxin 3 
RHAL1_00156,459, , ,hypothetical protein,,,no KO assigned 
RHAL1_00157,795, , ,protein of unknown function,K00570,phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferas,K00570 phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2
RHAL1_00158,693,pyrF,4.1.1.23,Orotidine 5'-phosphate decarboxylase,K01591,orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],K01591 orotidine-5'-phosphate decarboxylase [EC:4.1.1.23] 
RHAL1_00159,1116, , ,putative LuxR family transcriptional regulator,,,no KO assigned 
RHAL1_00160,894, , ,"Transcriptional regulator, LysR family",K03566,"LysR family transcriptional regulator, glycine cleavage system transcriptiona",no KO assigned 
RHAL1_00161,741,trxB,1.8.1.9,"thioredoxin reductase, FAD/NAD(P)-binding",K00384,thioredoxin reductase (NADPH) [EC:1.8.1.9],K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9] 
RHAL1_00162,294, , ,protein of unknown function,,,no KO assigned 
RHAL1_00163,525, , ,hypothetical protein,,,no KO assigned 
RHAL1_00164,498, , ,GtrA family protein (modular protein),,,no KO assigned 
RHAL1_00165,1230, , ,SAM-dependent methyltransferase,K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],K00574 cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79] 
RHAL1_00166,783, , ,hypothetical protein,K09701,uncharacterized protein,K09701 uncharacterized protein 
RHAL1_00167,1323, , ,NAD/FAD-binding protein,K06954,uncharacterized protein,K06954 uncharacterized protein 
RHAL1_00168,882, , ,Acetyl esterase/lipase,,,no KO assigned 
RHAL1_00169,828, , ,hypothetical protein,,,no KO assigned 
RHAL1_00170,1029, , ,Cyclopropane-fatty-acyl-phospholipid synthase,K00574,cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79],K00574 cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79] 
RHAL1_00171,417, , ,hypothetical protein,,,no KO assigned 
RHAL1_00172,810,ydhP, ,Inner membrane transport protein YdhP,,,"K19577 MFS transporter, DHA1 family, inner membrane transport protein "
RHAL1_00173,1446, , ,FAD-binding monooxygenase,,,no KO assigned 
RHAL1_00174,1269,dfp,4.1.1.36,"fused 4'-phosphopantothenoylcysteine decarboxylase ; phosphopantothenoylcysteine synthetase,FMN-binding",K13038,phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine li,K13038 phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.3
RHAL1_00175,456,dut,3.6.1.23,deoxyuridinetriphosphatase,K01520,dUTP pyrophosphatase [EC:3.6.1.23],K01520 dUTP pyrophosphatase [EC:3.6.1.23] 
RHAL1_00176,273, , ,hypothetical protein,,,no KO assigned 
RHAL1_00177,885,sucD_1,6.2.1.5,succinyl-CoA synthetase alpha chain,K01902,succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],K01902 succinyl-CoA synthetase alpha subunit [EC:6.2.1.5] 
RHAL1_00178,162, , ,Protein of unassigned function,,,no KO assigned 
RHAL1_00179,3018,sucA,1.2.4.2,"2-oxoglutarate decarboxylase, thiamin-requiring",K00164,2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2],K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 
RHAL1_00180,1266,sucB,2.3.1.61,dihydrolipoyltranssuccinase,K00658,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransfera,K00658 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61
RHAL1_00181,1398,lpd,1.8.1.4,Dihydrolipoyl dehydrogenase,K00382,dihydrolipoamide dehydrogenase [EC:1.8.1.4],K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
RHAL1_00182,579, , ,hypothetical protein,,,no KO assigned 
RHAL1_00183,2034,nadE,6.3.5.1,Glutamine-dependent NAD(+) synthetase,K01950,NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1],K01950 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1] 
RHAL1_00184,600, , ,Ribosomal protein S18 acetylase RimI,,,no KO assigned 
RHAL1_00185,1965, , ,"Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contain LysM domain",K19304,murein DD-endopeptidase [EC:3.4.24.-],no KO assigned 
RHAL1_00186,666, , ,hypothetical protein,,,no KO assigned 
RHAL1_00187,645, , ,Asp/Glu/hydantoin racemase,,,no KO assigned 
RHAL1_00188,576, , ,Nucleoside 2-deoxyribosyltransferase,,,no KO assigned 
RHAL1_00189,420, ,3.1.2.-,putative enzyme,K10806,acyl-CoA thioesterase YciA [EC:3.1.2.-],K10806 acyl-CoA thioesterase YciA [EC:3.1.2.-] 
RHAL1_00190,234, , ,protein of unknown function,,,no KO assigned 
RHAL1_00191,1335, , ,FAD-dependent oxidoreductase,K07222,putative flavoprotein involved in K+ transport,K07222 putative flavoprotein involved in K+ transport 
RHAL1_00192,288, , ,MSMEG_0570 family protein,,,no KO assigned 
RHAL1_00193,972, , ,hypothetical protein,K07123,uncharacterized protein,K07123 uncharacterized protein 
RHAL1_00194,546, , ,hypothetical protein,,,no KO assigned 
RHAL1_00195,1191, , ,Radical SAM protein,,,no KO assigned 
RHAL1_00196,1014, ,3.5.5.1,Nitrilase 3,K01502,aliphatic nitrilase [EC:3.5.5.7],K01501 nitrilase [EC:3.5.5.1] 
RHAL1_00197,483, , ,hypothetical protein,,,no KO assigned 
RHAL1_00198,1383,gntR, ,putative transcriptional regulator,,,no KO assigned 
RHAL1_00199,669, , ,hypothetical protein,,,no KO assigned 
RHAL1_00200,1128, , ,hypothetical protein,K12204,defect in organelle trafficking protein DotC,K12204 defect in organelle trafficking protein DotC 
RHAL1_00201,927, , ,Intracellular multiplication protein IcmK,K12213,intracellular multiplication protein IcmK,K12213 intracellular multiplication protein IcmK 
RHAL1_00202,1059, , ,hypothetical protein,K12209,intracellular multiplication protein IcmE,K12209 intracellular multiplication protein IcmE 
RHAL1_00203,1356, , ,hypothetical protein,,,K11913 type VI secretion system protein 
RHAL1_00204,1338, , ,Type VI secretion protein,K11893,type VI secretion system protein ImpJ,K11893 type VI secretion system protein ImpJ 
RHAL1_00205,1479, , ,hypothetical protein,K11892,type VI secretion system protein ImpK,K11892 type VI secretion system protein ImpK 
RHAL1_00206,2700, , ,hypothetical protein,K11891,type VI secretion system protein ImpL,K11891 type VI secretion system protein ImpL 
RHAL1_00207,1410, , ,Type VI secretion system protein ImpM,K11890|K20074,type VI secretion system protein ImpM|PPM family protein phosphatase [EC:3.1.3.16] ,no KO assigned 
RHAL1_00208,1134, , ,hypothetical protein,,,no KO assigned 
RHAL1_00209,981, , ,Type VI secretion system protein ImpH,K11895,type VI secretion system protein ImpH,K11895 type VI secretion system protein ImpH 
RHAL1_00210,1803, , ,hypothetical protein,K11896,type VI secretion system protein ImpG,K11896 type VI secretion system protein ImpG 
RHAL1_00211,462, , ,hypothetical protein,K11897,type VI secretion system protein ImpF,K11897 type VI secretion system protein ImpF 
RHAL1_00212,807, , ,Type VI secretion system protein ImpE,K11898,type VI secretion system protein ImpE,K11898 type VI secretion system protein ImpE 
