locus_tag	length	genes	EC	product [prokka]	KO	product [KEGG, based on BlastKOALA]	annotation [KEGG, official KEGG annotation of AL1]	Bas.1	Bas.2	Bas.3	Flint.2	Gad.1	Gad.2	Gad.3	LaCl.1	LaCl.2	LaCl.3	LaOx.1	LaOx.2	LaOx.3	LaP.1	LaP.2	LaP.3	Lop.1	Lop.2	Lop.3	MinLaCl.1	MinLaCl.2	MinLaCl.3	Mon.1	Mon.2	Mon.3	Xen.1	Xen.2	Xen.3
RHAL1_00011	174	 	 	hypothetical protein			no KO assigned 	10.2599758660019	11.3297100046479	11.1204112792018	10.0000397109812	9.71004072395667	9.50287578745604	9.68353496188433	10.6867540841418	11.2324270797971	11.0845637747798	10.3501374632903	10.5554348349639	10.9010712864429	9.20443181621603	9.34045640003215	8.90046360005074	9.9499055955592	9.98476883805833	10.0890908383742	9.88185150555358	9.95249161283201	10.2605515066034	9.00957582090993	8.91034451355767	9.36136336170298	9.81330927421546	9.92140913945326	10.0148333081809
RHAL1_00012	684	 	 	hypothetical protein			no KO assigned 	8.26168956423365	8.67041672626227	8.72503337271865	8.20987680727671	8.3621502754063	8.21491006437021	8.2879952800905	9.09989538303739	9.38972279122884	9.36062178146443	8.93782560096742	8.98236848801796	8.72094229808912	7.56693977093762	7.70609547995119	7.59137899004302	8.7204342554324	8.67033240698769	8.66437018817597	8.63493692973693	8.66606819218995	8.76198984766711	7.44595553288186	7.12528763377066	7.46248177713254	7.66046375352929	7.54918224518139	7.59111125757492
RHAL1_00013	708	msrA_1	1.8.4.11	Peptide methionine sulfoxide reductase MsrA 2	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	K07304 peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11] 	6.59754303805653	6.84548175782693	6.90881621361867	6.5919020642252	7.16971359090573	7.18296662103942	7.20215807456593	7.26910971827302	7.22400474149565	7.09442661263816	7.17307446251102	7.19591049741731	6.94130395542563	6.27174650655054	6.29101006841363	6.21972394470488	6.67885821714205	6.85515736114825	6.84386179094442	6.94747815390255	6.89768263452691	6.93485067279586	6.41185574024	6.4052625098197	6.58857306519974	6.3021600506025	6.6629246766073	6.51739706235855
RHAL1_00014	495	msrB_1	1.8.4.12	Peptide methionine sulfoxide reductase MsrB	K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	K07305 peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12] 	6.44825314645197	6.77423186296763	6.68500866474747	6.29438079517118	6.92440219078349	6.94848101724592	6.86100711681019	7.22111669389891	7.11982637459686	7.03771795742808	7.14773725583262	7.14854544189837	7.00440631076586	6.42497361098861	6.44467739760712	6.16862078002286	6.62843174948835	6.6949568204655	6.69377660855931	6.6025960582201	6.86669743437367	6.85801650622589	6.41314446682127	6.30711780171459	6.50872824941455	6.29052849800284	6.34616329122322	6.38696206435324
RHAL1_00015	561	 	 	DNA mismatch repair protein MutS			no KO assigned 	4.32321845992469	5.11470114168161	4.89474747065633	4.71584649216331	4.45101651324063	4.54614426669437	4.45299705594818	4.81671202480412	4.50998360906358	4.81454189975542	4.9302047745898	4.40111759931075	4.43352403283333	3.52045987074323	3.63171529447936	3.79777949081536	5.13229171418843	4.95694967412783	4.97820179316469	4.25286607680261	4.20826075706371	4.34202845483601	3.67168392528615	3.72015792729774	3.51305780170511	3.71914006188135	3.59640401184495	3.52513409894497
RHAL1_00016	1014	 	 	MltA domain protein	K08304	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]	K08304 membrane-bound lytic murein transglycosylase A [EC:4.2.2.-] 	6.5831090145472	7.41646545203494	7.2061896709357	6.99424906535977	6.61958798176156	6.51296973608132	6.53293006690895	7.03547992855351	6.96097369873737	6.86410559085144	7.03227271671397	7.04091871865072	6.70866493264913	6.06601431269367	6.19799163911932	6.18943876731788	7.31484328073762	7.05680497943848	7.03013463754505	6.55623908659935	6.71896579453632	6.73480627905127	6.37066011176875	6.26964321080929	6.35109861349443	6.4662376271702	6.20201331532326	6.2281949154465
RHAL1_00017	723	 	 	hypothetical protein			no KO assigned 	9.01751014032359	10.0073376859741	10.0602382879327	9.86573605207343	9.15159879572608	9.00134802626016	9.10878009466501	9.74607546530086	10.0937881104513	9.98727750515105	9.62899488282723	9.72420788839827	9.29203214437069	8.50612713561213	8.4361740366013	8.81500135107404	9.69973011103713	9.67176623308759	9.71413738015118	9.22374514490457	9.31432213278605	9.33349744212189	8.59733810861574	8.52965092209224	8.67558251241647	9.44586596214146	9.28538458682678	9.34239147933084
RHAL1_00018	468	 	 	hypothetical protein	K07113	UPF0716 protein FxsA	K07113 UPF0716 protein FxsA 	8.99255518974611	9.84919776218303	9.39101613654437	7.47117880237469	8.53294516138835	8.42586577189787	8.47933569213722	8.99330701145613	8.92373468610496	9.04510951711367	8.93773864451355	8.78765921520102	8.68782629804403	7.67979346791145	7.90401544545362	7.89112678989985	9.68288416315933	9.57137716043824	9.68028028678014	8.62104149191841	9.01627930215804	8.88464336036882	8.01541559921841	7.74690865262166	7.75427328357476	7.68584423795152	7.73477997679295	7.73702426731845
RHAL1_00019	606	recR	 	gap repair protein	K06187	recombination protein RecR	K06187 recombination protein RecR 	5.10258133160633	5.16400948952939	5.1697570707081	4.88511380896074	5.07472594738821	5.16412272428987	4.94240474364923	4.54074265515168	4.24422091149051	4.60851288524714	4.5608276837552	4.46675752163061	4.79439473468127	4.35120698367487	4.38336796077634	4.35913090828825	4.9163689557624	4.82274379957364	4.49313836627936	4.61315530883059	4.63335276779222	4.57506236761699	4.41818548728894	4.28476331511679	4.26374395420622	4.00664413589953	4.22819234349446	4.10048463615583
RHAL1_00020	324	 	 	hypothetical protein	K09747	uncharacterized protein	K09747 nucleoid-associated protein EbfC 	6.24779785742704	6.1758016080158	6.3411233047975	6.78207368214144	6.39515917850452	6.61939521725744	6.5418107828415	6.2390049519416	6.19938414940522	6.36347270336519	6.61598651759343	6.60322709969917	6.65009241453988	6.81217640330945	7.03462111770716	6.72484522994455	6.10595984968397	6.25292241300812	6.1677992992027	6.30805335764969	6.256658814733	6.24440778154317	6.66649099326051	6.83140931745877	6.69863835868354	6.50365924938205	6.33452358131327	6.42352293667797
RHAL1_00021	792	 	 	Membrane protein	K06872	uncharacterized protein	K06872 uncharacterized protein 	4.86374709046492	5.52833992404159	5.262354819069	4.37490644085721	4.6614249538869	4.72224986255736	4.68761663518615	5.49538032617098	5.38190234008766	5.06031360597174	5.30607619200371	5.08226416156808	5.32307711109879	4.53001105374352	4.64630008419443	4.57653047608866	5.61817605835532	5.43857194833505	5.53304622987582	5.26858082252054	5.41407217377455	5.37737414053111	4.58983617182901	4.28202838093983	4.47699554543886	4.56545794911796	4.63056619502934	4.52211146899123
RHAL1_00022	699	 	 	LemA family protein	K03744	LemA protein	K03744 LemA protein 	6.95961848070693	7.10419880785859	7.32141557312792	7.315856832726	6.62378074255541	6.77242082282105	6.73229281320865	7.08510735650815	7.22749031517906	7.26932464092868	7.27680960229952	7.31620377375227	6.93035395682963	7.33114279020384	7.47505472938827	7.20923867508208	6.90518799215207	7.01124970743313	6.9698446963927	6.94963174638673	6.96261790102055	7.06225333514946	7.45880479346175	7.77708597850163	7.8072681862956	7.70093416249841	7.86139606384455	7.84472848924286
RHAL1_00023	1863	dnaX	2.7.7.7	DNA polymerase III subunit gamma/tau	K02343	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	K02343 DNA polymerase III subunit gamma/tau [EC:2.7.7.7] 	8.01805169194036	8.58813308163505	8.49907944362647	7.5779138715939	7.88082099655129	7.74935972193441	7.8010899314742	8.76573145510754	8.68348910914636	8.69012327869225	8.60216990973198	8.67594310075602	8.26290002608305	8.01178222328831	8.10969984265295	8.13938835698477	8.96793810587174	8.90260226743989	8.79137782001331	8.6568510163226	8.65975557205294	8.80021348701842	8.05310270979037	8.04770774204851	8.05068731687064	8.02019417631811	8.00251974304535	7.98351801685544
RHAL1_00024	3297	 	 	putative autotransporter			no KO assigned 	6.28784460625844	6.72661463391875	6.91453458509089	6.23618942243723	6.21142786114973	6.25971918887521	6.18164954165556	7.1573731539602	7.23755111618035	7.16107074704085	7.11273348763123	7.13514927285756	6.83962676418483	7.0403298710019	7.20620813171673	6.9561937790204	7.17421459572469	7.10096569783037	7.16342290435949	7.34112825034326	7.2371047964224	7.44900256471677	7.16269261494661	7.16961231978489	7.28363573012528	7.10520450172885	7.1379666398025	7.12180932338567
RHAL1_00025	975	cysK	2.5.1.47	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	K01738	cysteine synthase [EC:2.5.1.47]	K01738 cysteine synthase [EC:2.5.1.47] 	8.1804219599813	9.12291574109547	8.99326720269341	7.40525493903555	7.99500512218002	8.10147917063487	7.94133603426707	8.01683767800965	7.86643033529056	7.79767078742311	7.94264399847533	7.8649891783129	7.58059030416857	7.39315445325111	7.44081959649748	7.32484128666706	8.55145166387872	8.44990293604087	8.45192651697242	7.83889137234062	8.00265667666921	8.2184985220977	7.44248861044003	7.34626214389942	7.56302242691988	7.68213970109296	7.95368791797257	8.00111232338551
RHAL1_00026	129	 	 	hypothetical protein			no KO assigned 	11.814805113478	12.4611778329608	12.2374146070001	11.2204705861555	12.2099785830069	12.2016092595466	12.2698047671677	12.5669707162883	12.662279233753	12.8172510590816	12.5685631254314	12.6314611452503	12.2152332738469	11.611970716535	11.8775881507473	11.8409180990308	12.8979466999562	12.8736478092804	12.6666758570788	12.2283825189228	12.1975708882468	12.4519255087985	11.4088438655676	11.2046925315958	11.1242647014183	11.6304288052794	11.6465728279237	11.5297019921499
RHAL1_00027	1035	 	 	Adenosine kinase	K00856	adenosine kinase [EC:2.7.1.20]	no KO assigned 	7.81242495471182	8.64154992701085	8.22142987955983	7.82857853800304	7.93862175471762	7.89948505573214	8.01202424166794	7.93283721015784	8.1213170110245	8.13410528957932	7.78955249519189	7.82545476151347	7.80672618108292	7.20195721726536	7.37094811663129	7.22386627630434	7.68355738738574	7.65574110572989	7.50858553911731	7.74529662940473	7.64213834804879	7.63589321470101	7.17945084801354	7.02621526701785	7.13326104109003	7.27565795641834	7.28900069837458	7.32710304456088
RHAL1_00028	1644	 	 	hypothetical protein			no KO assigned 	7.24823858868521	8.10601988848656	8.16148473505655	9.47154972611669	7.4083629273219	7.58757409578026	7.76941589204434	7.91073486019841	8.07447368222789	8.46468033214179	8.30654208481342	8.48718482021528	8.0804880669176	8.4590276111211	8.56020762578731	8.2147478826543	7.95197078012555	7.93779353250197	7.7452233767571	7.78402951475057	7.83296188503811	8.04080490298735	8.18776753893524	8.58228814367043	8.55962314835121	8.49899046941256	9.71514561631795	9.52187146195505
RHAL1_00029	1293	 	 	Major facilitator superfamily MFS_1			no KO assigned 	5.84537515403993	5.89686853229786	5.72325008343393	6.60745446486801	6.03271824389509	6.33054906986573	6.186987420438	6.26947464154124	6.11984444905231	6.03446084444654	6.2401902496515	6.30728384377229	6.5676928399712	6.65207064738096	6.82249045813693	6.61963108491616	6.10933727195168	6.10137232337322	6.15687828410402	6.10017371047393	6.0679640205876	6.06596302129336	6.62538495933313	6.73421020353196	6.56016066714891	6.42604860271672	6.39927371012168	6.2953348692462
RHAL1_00030	426	 	 	hypothetical protein			no KO assigned 	3.44885533884751	3.51830547339729	3.21279075717954	2.74078913511426	3.69516154561916	3.92002940144497	3.98623779652513	3.9763927965542	3.76159740114848	3.99255507481966	4.14489009988439	3.60497396513825	3.98467473627883	3.9660672817781	4.42336685212636	4.21506588161592	3.90909173781071	3.72597521388096	4.31597341452525	3.67764921423696	4.0951857593384	3.50715083201171	4.41046290711425	4.28476331511679	4.1654805634962	3.70168104274856	3.28852863045213	3.29344874996024
RHAL1_00031	924	 	1.1.1.169	2-dehydropantoate 2-reductase	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	K00077 2-dehydropantoate 2-reductase [EC:1.1.1.169] 	5.36657291150122	4.95016763474703	4.54129009775156	3.69570309405213	5.2603213778009	5.29456825995266	5.27370703510627	5.28584173337414	4.93866768082591	4.84997025814627	5.21372150374269	5.12656269439506	5.56389853690422	5.68630057661705	5.8092473346154	5.63975106196611	5.324721943802	5.50187869377551	5.51491384021693	4.96221281625473	5.13603062539802	5.29543062677911	5.73711160856709	5.65715587350291	5.3788185732607	5.33876563055459	5.15502217992966	5.04517633347027
RHAL1_00032	630	 	 	Glutathione S-transferase	K00799	glutathione S-transferase [EC:2.5.1.18]	K00799 glutathione S-transferase [EC:2.5.1.18] 	4.53488285705344	4.11778197326324	4.24712102904947	4.36076679154032	3.84633939966369	4.30481332299627	4.23067930985595	3.973176896865	4.23870441476531	4.21665161598284	4.09585630572316	4.31661054208946	4.75392277804369	4.70587117922201	4.60438448604185	4.77180464725794	3.99923428270253	4.35138065625342	3.99799924331609	4.33424131331202	4.29150010345276	4.32916570710076	4.84984851181917	4.94772181493736	4.75501130927247	4.74379418109513	4.88580972987456	4.8647340643485
RHAL1_00033	1500	 	 	FAD-dependent oxidoreductase	K01854	UDP-galactopyranose mutase [EC:5.4.99.9]	no KO assigned 	7.63575209650845	6.68920966606302	7.10888381380122	8.28605152481283	7.15385463778559	6.96638483010167	7.27539723226665	6.12409180673986	5.81988849429569	6.04528923016175	6.03243752449254	5.93968692475139	6.28857213286924	6.98579660128755	6.94891186414078	6.96991128542076	5.99713389480212	6.20115106258588	6.34375204844592	5.88748651541521	5.90875450871715	5.91811537625527	6.4506530797071	6.73920394963947	6.78550720381818	7.73028989889967	7.74263001008573	7.87462543692403
RHAL1_00034	2271	 	 	membrane protein of unknown function			no KO assigned 	7.62191784125938	7.78757505578416	7.99359966619399	8.81953945683352	7.24468041900708	7.01651095617885	7.24692956965677	7.11823940644523	7.04988801316244	7.11127113194051	7.01259261482291	7.14891578785748	7.08861190540987	7.09287666593181	6.97306886590715	7.12820200679654	7.43060641071145	7.4296363934004	7.61349382203325	7.20773144891608	7.21636235379923	7.27380298356922	6.92592338943741	6.95631628274254	7.1078817916497	7.64189405563744	7.63866711228035	7.68717213524388
RHAL1_00035	1461	 	 	Signal transduction histidine kinase			no KO assigned 	6.84482374177536	6.96506674059053	6.98638804701994	7.41412570106233	7.00214965674053	7.1850068904477	7.15390965596974	7.11641856340352	7.30079361611043	7.31403592980916	7.47533739471336	7.34654971346084	7.37684619952782	7.52536706675189	7.5095289180019	7.59378356153143	7.02483559077156	6.94155432696146	6.95647102499965	7.63810183275564	7.56348771795273	7.25904337697557	7.76794993405264	7.66478197986953	7.51330560161816	6.62825213382442	6.65358694437562	6.63400677627953
RHAL1_00036	135	 	 	protein of unknown function			no KO assigned 	2.81420581963423	3.89641503551476	3.67643737324902	4.21118149121186	2.80534966408334	2.97030063904416	3.21038362556311	2.93439137617758	3.23883756809517	3.37896350312747	3.41354753942369	3.06682492708696	2.45627183802239	3.57327271841399	3.39296266622059	3.54790195460788	3.45348516907658	3.21265878932356	3.11109992636585	3.73204434584443	3.50978494379079	3.48412670196822	3.573669385081	3.34890979307959	3.79757296591536	4.00189690478497	4.28305016674489	4.23939976925951
RHAL1_00037	357	 	 	protein of unknown function			no KO assigned 	3.24390920130452	3.40802004699484	3.02563932123157	4.38425646665559	2.97247962998993	3.24520947321284	3.10717450448836	2.85275126503745	2.71089515297702	3.35595351392487	2.94484075287927	2.67261179750859	2.77003414455277	3.88728272872212	3.70566421232953	3.87493824621401	2.9254139414699	2.67931332267665	2.7181207877737	3.09685607728712	3.06184765326494	3.25848704934027	3.78751004816704	4.2375492648039	3.9950697590093	4.33952347951899	4.72075895093813	4.63760591854972
RHAL1_00038	1263	 	 	protein of unknown function			no KO assigned 	5.02193804963584	5.40455897839036	5.16801722203096	6.89553631734817	4.7069267033427	5.02069943092087	5.07930527501777	4.82921668201511	4.80694481944082	4.98357584145902	4.95790964584394	5.111440495653	5.03384009105499	5.71906764657451	5.71749434875924	5.50123972013452	5.03761378883578	4.9220277249668	5.06176192724373	4.75781944958454	4.81961590277891	4.91343266109491	5.26395930969368	5.55550840659125	5.50990128505049	5.92848738794058	6.50919919439532	6.45237468027447
RHAL1_00039	1119	 	 	transposase	K07481	transposase, IS5 family	no KO assigned 	6.7279108063321	6.73234699943625	6.75563818224209	6.95557063191238	6.79218899319855	6.76084073143702	6.77146093815981	7.14635096934346	7.24788553316638	7.21721066036038	7.03909781514417	6.99551448563477	6.92939784364733	7.32322884857243	7.32944769541213	7.27813664658831	6.97645989634402	6.94735478999177	7.02373695362398	7.16758988898662	7.13114455710358	7.13934412506871	7.43552967105067	7.54669991434622	7.73367993180442	7.21336795256677	7.18805332375462	7.22299066082257
RHAL1_00040	1467	 	 	protein of unknown function			no KO assigned 	4.51601047282107	4.96136809382314	4.9094004671794	5.75763854875315	4.36680491205859	4.67076459505663	4.64364624203679	5.02205887032914	4.9488389099719	4.92028117142483	5.04315084303894	5.26829490166841	4.71893780187209	5.55266615743228	5.49990096931051	5.45437549165108	5.04891476425717	5.04922768945053	4.99954991723367	4.56901083285498	4.57064473215858	4.76850877757975	5.26538708910592	5.75999412896152	5.81184568493073	5.57922259642257	6.40237422839839	6.25679470887864
RHAL1_00041	894	 	 	protein of unknown function			no KO assigned 	4.65533329031466	5.20699054712771	5.13455507540102	6.18628229209112	4.58893388144802	4.62039233215064	4.77350558015642	4.79319756136243	4.7825092409687	4.9493961500458	5.03146384291216	5.0698006453941	4.82350607350077	5.59534933261184	5.57087053262339	5.47474003881334	5.25446592480589	5.30166769576936	5.19157355484382	4.78701789332122	4.83250190951051	5.33618071779352	5.37128802003299	5.59570973942074	5.80659690202458	6.05647583343491	6.72763854375859	6.61661040030061
RHAL1_00042	339	 	3.1.1.29	Peptidyl-tRNA hydrolase ArfB (fragment)	K15034	ribosome-associated protein	K15034 ribosome-associated protein 	1.7732049517366	1.68086626983221	1.63734640600033	2.23097964979343	1.81078200180099	1.61157617960107	1.70895293862431	2.59267236343216	2.46850737447027	2.47178692870432	2.50091359324131	2.31950909869529	2.60738962014961	2.15489080920368	1.64987566112877	2.41737713432417	1.57525897518148	1.97435570593193	2.05604343133102	1.88760242392015	1.93817473271905	2.12081403867151	2.37079423944949	1.95468592809403	2.16366279432866	2.61978748587339	3.04999429003503	2.8971538220385
RHAL1_00043	258	 	 	exported protein of unknown function			no KO assigned 	4.24515063869554	4.2051771821557	4.40317015226269	3.54961100089852	4.11211982658906	4.30105572270273	4.22290478473812	4.83631383712728	5.24965031988075	4.81454189975542	4.88329555997471	4.52954046620934	4.86009199149751	4.66637925668972	4.67235322471204	4.5934511730593	4.41624088884465	4.04937262418313	4.16427550546399	4.69073727114939	4.38776477182523	4.49670356513187	4.63029156748215	4.34627696641598	4.77449825621506	4.96724120171872	5.01295846108709	5.02467769599798
RHAL1_00044	414	 	 	hypothetical protein			no KO assigned 	5.34534797564934	4.72881945358082	4.92184280314148	4.40736980676142	4.7987917997623	4.78008207548644	4.96277544135106	5.13140474643273	5.05779807515245	4.91438699757279	4.98239714148452	5.00089961573536	5.03739425862662	5.28853948947365	5.31853488076076	5.11005938267516	4.99880591429134	5.03995081097198	4.99628608163857	5.05848223665791	4.87048341601188	5.13470254958567	5.33910602342552	5.21190436855906	5.41513876397531	5.76159285306685	5.7666774911469	5.9852261955657
RHAL1_00045	1125	proB	2.7.2.11	Glutamate 5-kinase	K00931	glutamate 5-kinase [EC:2.7.2.11]	K00931 glutamate 5-kinase [EC:2.7.2.11] 	5.09242556513666	4.98351147311997	4.79906998411618	4.64760297536791	4.8664056573485	5.25043636046678	5.10913456335529	5.1754441612785	5.0671657691784	5.40945656431733	5.29634287344378	5.02369576662788	5.42969761457045	5.88983926440841	5.91122573269145	5.75703147515075	5.03335299588938	5.03217424890452	5.19869061407524	5.56488618285214	5.44796122128743	5.36166940200404	5.91684258230795	5.96827747591103	5.68829629588324	5.37409554463218	5.52182150989541	5.48519470559192
RHAL1_00046	492	yciF	 	Protein YciF			no KO assigned 	8.41675595041307	9.50658927313857	9.35122544765926	7.3082019544967	8.37173832845965	8.54840222676599	8.40641667360776	8.77684063523803	8.71101522076827	8.44061734639726	8.97092031923457	9.0145289533178	8.02651918085357	7.728886380558	7.78752795247486	7.51683749100574	9.26287549040394	8.98285852713844	8.63515839635484	9.1182461420795	9.06064934224266	9.26866085349652	7.96380389035073	7.81186870172436	7.88452616898577	7.46520215217024	7.48072247044424	7.59632976223408
RHAL1_00047	546	mog	2.7.7.75	Molybdopterin adenylyltransferase	K03831	molybdopterin adenylyltransferase [EC:2.7.7.75]	K03831 molybdopterin adenylyltransferase [EC:2.7.7.75] 	6.20837209856601	6.7092795961247	6.84872198094456	6.10166452969329	6.46147217071851	6.47094509884519	6.43762523209797	7.04546637385358	7.03285691184177	6.95830394821376	7.00862417289786	6.97602690199754	6.3983693872007	5.75850392021038	6.00060532296109	5.8793546413843	7.22148603962456	7.05527105162142	6.84476941771493	6.89554824093911	6.76897846717812	7.03181400516408	5.79361808105402	5.42771159614791	5.50990128505049	6.32133997220113	6.37864145246789	6.29009625392622
